sample_name,library_index,read_in_pair,path
JustinHN_0138_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0138_Norm_PBL/HNC_0138_Norm_PBL_R1.fastq.gz
JustinHN_0138_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0138_Norm_PBL/HNC_0138_Norm_PBL_R2.fastq.gz
JustinHN_0496_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0496_Norm_PBL/HNC_0496_Norm_PBL_R1.fastq.gz
JustinHN_0496_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0496_Norm_PBL/HNC_0496_Norm_PBL_R2.fastq.gz
JustinHN_0668_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0668_Norm_PBL/HNC_0668_Norm_PBL_R1.fastq.gz
JustinHN_0668_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_0668_Norm_PBL/HNC_0668_Norm_PBL_R2.fastq.gz
JustinHN_1089_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1089_Norm_PBL/HNC_1089_Norm_PBL_R1.fastq.gz
JustinHN_1089_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1089_Norm_PBL/HNC_1089_Norm_PBL_R2.fastq.gz
JustinHN_0156_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1156_Norm_PBL/HNC_1156_Norm_PBL_R1.fastq.gz
JustinHN_0156_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1156_Norm_PBL/HNC_1156_Norm_PBL_R2.fastq.gz
JustinHN_1577_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1577_Norm_PBL/HNC_1577_Norm_PBL_R1.fastq.gz
JustinHN_1577_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_1577_Norm_PBL/HNC_1577_Norm_PBL_R2.fastq.gz
JustinHN_2136_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2136_Norm_PBL/HNC_2136_Norm_PBL_R1.fastq.gz
JustinHN_2136_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2136_Norm_PBL/HNC_2136_Norm_PBL_R2.fastq.gz
JustinHN_2161_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2161_HN_PBL/HNC_2161_HN_PBL_R1.fastq.gz
JustinHN_2161_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2161_HN_PBL/HNC_2161_HN_PBL_R2.fastq.gz
JustinHN_2187_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2187_HN_PBL/HNC_2187_HN_PBL_R1.fastq.gz
JustinHN_2187_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2187_HN_PBL/HNC_2187_HN_PBL_R2.fastq.gz
JustinHN_2212_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2212_HN_PBL/HNC_2212_HN_PBL_R1.fastq.gz
JustinHN_2212_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2212_HN_PBL/HNC_2212_HN_PBL_R2.fastq.gz
JustinHN_2238_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2238_HN_PBL/HNC_2238_HN_PBL_R1.fastq.gz
JustinHN_2238_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2238_HN_PBL/HNC_2238_HN_PBL_R2.fastq.gz
JustinHN_2263_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2263_HN_PBL/HNC_2263_HN_PBL_R1.fastq.gz
JustinHN_2263_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2263_HN_PBL/HNC_2263_HN_PBL_R2.fastq.gz
JustinHN_2276_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2276_HN_PBL/HNC_2276_HN_PBL_R1.fastq.gz
JustinHN_2276_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2276_HN_PBL/HNC_2276_HN_PBL_R2.fastq.gz
JustinHN_2298_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2298_HN_PBL/HNC_2298_HN_PBL_R1.fastq.gz
JustinHN_2298_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2298_HN_PBL/HNC_2298_HN_PBL_R2.fastq.gz
JustinHN_2308_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2308_HN_PBL/HNC_2308_HN_PBL_R1.fastq.gz
JustinHN_2308_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2308_HN_PBL/HNC_2308_HN_PBL_R2.fastq.gz
JustinHN_2353_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2353_HN_PBL/HNC_2353_HN_PBL_R1.fastq.gz
JustinHN_2353_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2353_HN_PBL/HNC_2353_HN_PBL_R2.fastq.gz
JustinHN_2422_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2422_HN_PBL/HNC_2422_HN_PBL_R1.fastq.gz
JustinHN_2422_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2422_HN_PBL/HNC_2422_HN_PBL_R2.fastq.gz
JustinHN_2423_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2423_HN_PBL/HNC_2423_HN_PBL_R1.fastq.gz
JustinHN_2423_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2423_HN_PBL/HNC_2423_HN_PBL_R2.fastq.gz
JustinHN_2447_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2447_HN_PBL/HNC_2447_HN_PBL_R1.fastq.gz
JustinHN_2447_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2447_HN_PBL/HNC_2447_HN_PBL_R2.fastq.gz
JustinHN_2451_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2451_HN_PBL/HNC_2451_HN_PBL_R1.fastq.gz
JustinHN_2451_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2451_HN_PBL/HNC_2451_HN_PBL_R2.fastq.gz
JustinHN_2456_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2456_HN_PBL/HNC_2456_HN_PBL_R1.fastq.gz
JustinHN_2456_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2456_HN_PBL/HNC_2456_HN_PBL_R2.fastq.gz
JustinHN_2464_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2464_HN_PBL/HNC_2464_HN_PBL_R1.fastq.gz
JustinHN_2464_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2464_HN_PBL/HNC_2464_HN_PBL_R2.fastq.gz
JustinHN_2469_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2469_HN_PBL/HNC_2469_HN_PBL_R1.fastq.gz
JustinHN_2469_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2469_HN_PBL/HNC_2469_HN_PBL_R2.fastq.gz
JustinHN_2470_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2470_HN_PBL/HNC_2470_HN_PBL_R1.fastq.gz
JustinHN_2470_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2470_HN_PBL/HNC_2470_HN_PBL_R2.fastq.gz
JustinHN_2473_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2473_HN_PBL/HNC_2473_HN_PBL_R1.fastq.gz
JustinHN_2473_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2473_HN_PBL/HNC_2473_HN_PBL_R2.fastq.gz
JustinHN_2486_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2486_HN_PBL/HNC_2486_HN_PBL_R1.fastq.gz
JustinHN_2486_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2486_HN_PBL/HNC_2486_HN_PBL_R2.fastq.gz
JustinHN_2487_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2487_HN_PBL/HNC_2487_HN_PBL_R1.fastq.gz
JustinHN_2487_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2487_HN_PBL/HNC_2487_HN_PBL_R2.fastq.gz
JustinHN_2496_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2496_HN_PBL/HNC_2496_HN_PBL_R1.fastq.gz
JustinHN_2496_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2496_HN_PBL/HNC_2496_HN_PBL_R2.fastq.gz
JustinHN_2535_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2535_HN_PBL/HNC_2535_HN_PBL_R1.fastq.gz
JustinHN_2535_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2535_HN_PBL/HNC_2535_HN_PBL_R2.fastq.gz
JustinHN_2538_HN_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2538_HN_PBL/HNC_2538_HN_PBL_R1.fastq.gz
JustinHN_2538_HN_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2538_HN_PBL/HNC_2538_HN_PBL_R2.fastq.gz
JustinHN_2624_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2624_Norm_PBL/HNC_2624_Norm_PBL_R1.fastq.gz
JustinHN_2624_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_2624_Norm_PBL/HNC_2624_Norm_PBL_R2.fastq.gz
JustinHN_3267_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3267_Norm_PBL/HNC_3267_Norm_PBL_R1.fastq.gz
JustinHN_3267_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3267_Norm_PBL/HNC_3267_Norm_PBL_R2.fastq.gz
JustinHN_3271_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3271_Norm_PBL/HNC_3271_Norm_PBL_R1.fastq.gz
JustinHN_3271_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3271_Norm_PBL/HNC_3271_Norm_PBL_R2.fastq.gz
JustinHN_3516_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3516_Norm_PBL/HNC_3516_Norm_PBL_R1.fastq.gz
JustinHN_3516_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3516_Norm_PBL/HNC_3516_Norm_PBL_R2.fastq.gz
JustinHN_3598_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3598_Norm_PBL/HNC_3598_Norm_PBL_R1.fastq.gz
JustinHN_3598_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3598_Norm_PBL/HNC_3598_Norm_PBL_R2.fastq.gz
JustinHN_3791_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3791_Norm_PBL/HNC_3791_Norm_PBL_R1.fastq.gz
JustinHN_3791_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3791_Norm_PBL/HNC_3791_Norm_PBL_R2.fastq.gz
JustinHN_3859_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R1.fastq.gz
JustinHN_3859_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R2.fastq.gz
JustinHN_3887_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R1.fastq.gz
JustinHN_3887_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3859_Norm_PBL/HNC_3859_Norm_PBL_R2.fastq.gz
JustinHN_3888_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3888_Norm_PBL/HNC_3888_Norm_PBL_R1.fastq.gz
JustinHN_3888_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_3888_Norm_PBL/HNC_3888_Norm_PBL_R2.fastq.gz
JustinHN_4147_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4147_Norm_PBL/HNC_4147_Norm_PBL_R1.fastq.gz
JustinHN_4147_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4147_Norm_PBL/HNC_4147_Norm_PBL_R2.fastq.gz
JustinHN_4299_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4299_Norm_PBL/HNC_4299_Norm_PBL_R1.fastq.gz
JustinHN_4299_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4299_Norm_PBL/HNC_4299_Norm_PBL_R2.fastq.gz
JustinHN_4427_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4427_Norm_PBL/HNC_4427_Norm_PBL_R1.fastq.gz
JustinHN_4427_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4427_Norm_PBL/HNC_4427_Norm_PBL_R2.fastq.gz
JustinHN_4518_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4518_Norm_PBL/HNC_4518_Norm_PBL_R1.fastq.gz
JustinHN_4518_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4518_Norm_PBL/HNC_4518_Norm_PBL_R2.fastq.gz
JustinHN_4623_Norm_PBL,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4623_Norm_PBL/HNC_4623_Norm_PBL_R1.fastq.gz
JustinHN_4623_Norm_PBL,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/HNC_4623_Norm_PBL/HNC_4623_Norm_PBL_R2.fastq.gz
JustinHN_0496_Norm_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/0496_BL/0496_BL_R1.fastq.gz
JustinHN_0496_Norm_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/0496_BL/0496_BL_R2.fastq.gz
JustinHN_2161_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2161_BL/2161_BL_R1.fastq.gz
JustinHN_2161_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2161_BL/2161_BL_R2.fastq.gz
JustinHN_2187_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2187_BL/2187_BL_R1.fastq.gz
JustinHN_2187_HN_cfDNA,1,2,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2187_BL/2187_BL_R2.fastq.gz
JustinHN_2212_HN_cfDNA,1,1,/cluster/projects/scottgroup/people/althaf/data/Justin_HN_Norm_cfDNA_PBL/Samples/2212_BL/2212_BL_R1.fastq.gz
